step,microtick,upsilon_num,upsilon_den,beta_num,beta_den,koppa_num,koppa_den,rho_triggered,rho_prime,imbalance_active,upsilon_beta_ratio,convergence_error,phase_limit,structural_deviation,emission_count,psi_transformed,microtick_phase
3,9,1,1,1,1,6155,143,False,0,False,1.0,0.41421356237309515,0.7071067811865475,0.29289321881345254,10,False,9
3,10,1,1,1,1,6298,143,False,0,False,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,10,False,10
3,11,1,1,1,1,6441,143,False,0,False,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,10,False,11
4,1,1,1,1,1,6584,143,False,0,False,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,10,False,1
4,2,1,1,1,1,6727,143,False,0,False,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,10,False,2
4,3,1,1,1,1,6870,143,False,0,False,1.0,0.41421356237309515,0.7071067811865475,0.29289321881345254,10,False,3
4,4,1,1,1,1,7013,143,False,0,False,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,10,False,4
4,5,1,1,1,1,7156,143,False,0,False,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,10,False,5
4,6,1,1,1,1,7299,143,False,0,False,1.0,0.41421356237309515,0.7071067811865475,0.29289321881345254,10,False,6
4,7,1,1,1,1,7442,143,False,0,False,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,10,False,7
4,8,1,1,1,1,7585,143,False,0,False,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,10,False,8
4,9,1,1,1,1,7728,143,False,0,False,1.0,0.41421356237309515,0.7071067811865475,0.29289321881345254,10,False,9
4,10,1,1,1,1,7871,143,False,0,False,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,10,False,10
4,11,1,1,1,1,8014,143,False,0,False,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,10,False,11
5,1,1,1,1,1,8157,143,False,0,False,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,10,False,1
5,2,1,1,1,1,8300,143,False,0,False,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,10,False,2
5,3,1,1,1,1,8443,143,False,0,False,1.0,0.41421356237309515,0.7071067811865475,0.29289321881345254,10,False,3
5,4,1,1,1,1,8586,143,False,0,False,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,10,False,4
5,5,1,1,1,1,8729,143,False,0,False,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,10,False,5
5,6,1,1,1,1,8872,143,False,0,False,1.0,0.41421356237309515,0.7071067811865475,0.29289321881345254,10,False,6
5,7,1,1,1,1,9015,143,False,0,False,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,10,False,7
5,8,1,1,1,1,9158,143,False,0,False,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,10,False,8
5,9,1,1,1,1,9301,143,False,0,False,1.0,0.41421356237309515,0.7071067811865475,0.29289321881345254,10,False,9
5,10,1,1,1,1,9444,143,False,0,False,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,10,False,10
5,11,1,1,1,1,9587,143,False,0,False,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,10,False,11
6,1,1,1,1,1,9730,143,False,0,False,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,10,False,1
6,2,1,1,1,1,9873,143,False,0,False,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,10,False,2
6,3,1,1,1,1,10016,143,False,0,False,1.0,0.41421356237309515,0.7071067811865475,0.29289321881345254,10,False,3
6,4,1,1,1,1,10159,143,False,0,False,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,10,False,4
6,5,1,1,1,1,10302,143,False,0,False,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,10,False,5
6,6,1,1,1,1,10445,143,False,0,False,1.0,0.41421356237309515,0.7071067811865475,0.29289321881345254,10,False,6
6,7,1,1,1,1,10588,143,False,0,False,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,10,False,7
6,8,1,1,1,1,10731,143,False,0,False,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,10,False,8
6,9,1,1,1,1,10874,143,False,0,False,1.0,0.41421356237309515,0.7071067811865475,0.29289321881345254,10,False,9
6,10,1,1,1,1,11017,143,False,0,False,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,10,False,10
6,11,1,1,1,1,11160,143,False,0,False,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,10,False,11
7,1,1,1,1,1,11303,143,False,0,False,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,10,False,1
7,2,1,1,1,1,11446,143,False,0,False,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,10,False,2
7,3,1,1,1,1,11589,143,False,0,False,1.0,0.41421356237309515,0.7071067811865475,0.29289321881345254,10,False,3
7,4,1,1,1,1,11732,143,False,0,False,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,10,False,4
7,5,1,1,1,1,11875,143,False,0,False,1.0,0.41421356237309515,1.4142135623730951,0.41421356237309515,10,False,5
7,6,1,1,1,1,12018,143,False,0,False,1.0,0.41421356237309515,0.7071067811865475,0.29289321881345254,10,False,6
7,7,1,1,1,1,12161,143,False,0,False,1.0,0.41421356237309515,2.414213562373095,1.414213562373095,10,False,7
