TICK,PSI_PRECURSOR_DIFF
1,-61720
2,-35202988873219987392
3,-1314356268800450068638377894344435084413731880723763236061510
4,-410252676074974121676582756421214676708711584802323523802934208139194253374762998931639372289767028781641932144569286454370359743452757790660102784744549778241482222048254018515092795805932
5,-15933500560254623832910251030180851375095262010156520848670216065306013096365793364121712429304578979698208366786576298262028593758907561263004171764115013103688739623109482024513556740856551021461732214449093842289234216808396433901149898129386129665888837200694427092146601435312694046809563801310684104477844109877245102870084038855564834075002989464450434671790926990748713247764018697457842003047327580322661021692683920785983341397047239172542572115784463619184876055056500105608359523673743667676281279958332210419277126722972021704943171874289756141878865490
6,-110168785820351464829585531281758336152125065332386474549398654772457243383433664666966480309809559089896088527333231092214446288282955116554874334070446585437310858082844183185054028307669794413386434736225849969061222845787806278073960156010187480541705371782654076076151035208025616518153692303143366095011188414104357283067880363309452196799291584658344600008880966288760484206251888398808806089395667993228128332859217116591399844724161032131132560518887147941198656596037627857436538949375667665184323878745707303221201537399791906710200131485234349614106881199310547611300833032539554182664429053320382902072285908314598825360912845442395536733252193205158821822156693928591965972032093076106616551444546062841052015509395477932547844267239833353790269279786622433462531574730833605381235919884897101289580199975305173354088089737047055617504423084834713937285490273578811995728085215161882044787224658715908287051364117663108031249310085372460083757592364509809473968185636542512572423272618560570120616426679839550050267130222210333594473724395450876456859999088760678389582821782199373542251513028848012925128216092924093179580449815039142748077552979545282706038450376606209892901553103018638777268757893565076821138181745519251026461620251336007650504653387746195017776012885132437818754989890353390298173177448916817391436226066703678035181256158461523462627978566514603247808555700272791065765132811384206621341529701604620857083203003781429995746587124614877196142887577941929985394962279114413379969474065498220476214067200809486732069559787263653227704211660295048490631329284586025580218034381449869200025915738828755134291209358561454839435565804411996401662574909608092313889405240
7,-39603691695089888430748514936668737665067434733024550267339409663817636661278117170602046625285618856592352310343305567145565315525763495016035010964899941992507618440489496213091907294580882199198359812156808625379769971504704753479788651055801732562810565845936441244193728950421106697917761259783306299294435369787137609046237651714925994576529201222940233104765599411170522572855549761442667123159890669775325164059415229065341051550533547022170318033502675498251758004401809092264382910349077907565911683830654273460463277257452456464175578025447797906686246410088610499667118894251022874228097897774616952178777739769018111181798201500217344818059424642286268963409611573748573240948792768336083487501282222105088542960155154757060404314979257622469422396324546751765846096524351958134379017793324132904728291633390269432850146766494279630688151357961222865741317393832115502166587635483943114614973437781115853865830366824992574331230262096109703719369197020472451851978259757600649108233395452757040997140772831690040691514304134341180439029072624271500843569496869577291766087819482716794041738814371825291443018730180021352583814399607399339475833787922470680827702917439599988896129058231381566990055606932406365826398838791964734414936270884448336129224586465435156101378507654928583632105925592718666138779951933779044239440588311742273052196366855495879699247523244321345928806252763199618855071008187390405220801541627230355621668434913502042282070144345021579000380895783243898220562544313030820837969776272984521469968642407276247374843021910264119473049361443527255533493234030443773329689685376539170728219680929719039306937389206138692571616836599611384386897492994945141081381352690871218320634369723694859990617221349491120697236770778132819288078028853177408640807718319038564515859397928441449732177415873542220263736095451125724981806177817149976485736428051420594201384035679932711131968334941953481560511755792353969839741923652100981011329254479500608324949630530036702603500413890345545767266282940309118039505982403054516789742323691070973028664467918885948628439881945732160615088324256851571221384282105839693394893514843850161081503712486679874652202262700136145233749144433463360381774318651810153749036668344052412844416869608008370574272824525814612518709786892302561472104099472902671186485540957466864955803052097320809801504923940534629685825963981773375787583302296184249967823073400046636721556303711824302099060583818485072715728474516322874826002850834622717344268986127717584279389762800445532743807912585573530939545655992235495524051278266267841320472389293657114163584233040139307131559455759654004025159093684700193745211898034141085184307386371233820730804127819270363059771485301198082646405682477291802626274588428987585351543946425845323149578764100126932752607707151328214703804086155962664833680312177335358871457029667179606812132632157812340031567985548467073159867001550846705227506899249114792729514385243116964290173848316237533597588357036382105652490539264822195486933493850321914270968206360037969408401653606235467992932041031015636925204747477270500093766886101453137069250939607819765057931431611710559585125000269490229820677474379922576181646283556041914386202473137539415184919019586030620218582118232784615692176825910535756945919666065641047134045900165395178202129946816058041458046091184542670072147034836288535528639263847633117140013684552231043415976185513005331394967019658009353848918934636666740520819308702397749923825736024697576051482603937818717821455306519002904858737533741993004233376268376585889012073743244032998949634535557348738950245638763485057174883725270915206059819184516811624392518590298048412035848948619683660080008993505591189452378463226158960051768566635507118146609688647935138781589155625068543020097620116911580512763885338449907326002171303805010879808557750591067363310360351436482408817575594160655903683988103032891639654607982049959243085179456087583454628446918139956423880893329560810712012140155421061544065896807782964524590145736724161005088657303171216905756623789858016385949019515623137548032005780267393201540638037593181804829112330692769907327069548720646109297390941921637953131530143415879451320920210040869407442328509434457751501994523333539432225633968782671818614752764616495536969112353904133033406504383346372064828368305359041612136222449418718228937955310422922487829894756332407392522321124261312804834487787422859562828393981749726268879832920876329260429833910582511756799245697348157541577849269694737392780195812451371200534426053253796033872677230243494167806914715817153387997869151807088200364960127014698273199850598178113119653097049661791146282665332563850300750614045188275691972328273585734960673429610658197658755691445269468797086914087206671261955206152450564898455858968454676624423149820533994042631419580655103269592301166246990298613128648542935710757612890631614789668730331520727968775578644909027491171787184821824039866165789158049627818363175090052895591528337391836263971123467948534527451891488701529487680948844994252891213246426335334884032510
8,-11272367022007744801675415136583048043106311004819845538965709655043388464791941769517110686335136982484652149443356033781388821596325756669156463843705270260988933390634625791599393405471360385501190334341272382528915954182973649017568539583528695432724510488270536883723507503542644694565425110616911368491488188351335254788982417910530798505315872482911818794220748124742190325001102491102703785299340704193404536777561774351010264850285036067252243220951824373152868019343950806502483260111737984989651580034656133925416924053727909085870636656203621320279117379403618676359608049845819408116721993373563888430444363067822265664227951221300714106653862360634209250882244071577418653689647425168245567883100587865464524555244969584286669304047585568856702792327570967739252216811868442451193015418458994829662032913983237909074047087171689553727390488183718452900918040134830052265810362534546430363602080798593648278848586384541926242851337542071858282081713542354230173029529974880022285980433252839145499018408021468459343542706995180566625446387055382618380402530281512877648590790625016556042972462503311713892409450627127977498974221989664755260460819204758024979169737496317745616330632912533592562247605971803935748574174251254469434598412256591751927742368171446337719760968925647904227837597365073160441830862229560599421178359331861364063688706254988656622570197377342465290808638081703869653687357035587576459765468609064674738561883026972768283128930228554713896535452294163184333963841912880202029863366887927979486224581108793896608717511399689738396247648248711638739178769450738973821505518878660328472491994578828337932949439594448825472944495731809611532124408942880401693238859974447247010292315838848502497852793526739281618488877188193075499835380424359031398402390272830375217830530353122839013930781532443166036904516617889772188578300630558763122689972447416891076426464888091480924817346316531463865527256903236215576714752526361294302907973474782752756019454308022288456241754318453535536696886344995493840065861516904095440769925301841498748322472064203408345126337192896112318892285338936094095267609182763909780280212007848785253878977023900749682195666101414486031663991690965604452276221064504148632191526516090218518941692816897650457756999668295997390934448952987767193363008280292166797853977025489826571211479143666039867505444121436474546773811551154738990940441407737915935467016771896898933501423879219297572505560272962830062767415887583627482922582362272459817548465980702625530789583370710479120450153345597133537650013714453725876033435763948105803366604754753336304115936460837182068862522911271292953754312961400244000502166993400003544535511943487840701007646071922134512935889194663803695536249651602043833977250742799246214355282593667309647367710554157502062812363637390880160606410431926051134030373657795324256237225483894005317844513569119088541091883148248066742709018693802265208559165901027717840013138908964825400790071401094988514694410921923596804643181294186163417867185870017506343090520360880111956388030313763393870117425595328176572250711634908701505733989423382009631209927277386446797196667398665363183028512340157291179507401130287725227804745753395854978724113499320419289468055011017880684717055302440986955866627099279410447353242638314232884160931344652603601108550706657343543645026322172774661572554303363667297176364275719733451385541791926785726479970559862616498723932867594816288428901060314127340896396563527051324389109623286023280567196385476959952861961026826916026669575732980595639264595537766600208535152914170125253560685041427795587559420826991121486817402197570474070684955806603835144273120284702155020959809707490053564057452691760567924110234409445659734031218093431572994554742204994251990627646016603014625210999368190493185906478795355285772101805787471428463749014105172295119337125535554756144576574311484697519425615860845618717752335068305604824521594684271164275811658163062013002474350705667751251372747319783670555114092630563747984302779755766892225444092052930746281660923587010475211415248924134294075751896767618669839783469494873261189174521949770050941459830786350593819726165230227670332067517545739338623772944632547353253916401007388394284466783796539104106791350404886216428192244866395791509048471483239070931097876397736990296469836944218510627291975681137868014563251994918908377721408138602817426242764927990505634032549458076903759051535062918239817888462713525642778056075371843748805188814757173674427139887019834773214603641196761892268814586291798725913500668739975624889147455751385687983465434738564824853607335279352077196942645852367488660880038314022709952793196548273604016380943125491611690163814536156852706463771318393705522064709180974986410022743617084262733942160351870493817002424374095486338377053162006579565181098642551453058658474045842142573512126225314891857466148937070434011556096910128294329272706213794123149924604212261391848624208038764924548617852778171039781222906694356113661305073834859132327880315506127919398240939141336144985378831524189789594444378431894764878733617503134322199998433593726257781784326520505122915521180302961403270694147650243869674729996490938949991588151201387165937034396606565447237066199895885556250433902454779976469294436738581731737000046241047808217159538853433061278628092323936573441019794488106681953523889109733588821784551944059246664528956842303595741163632332860330975392816735901886138364492107363042539361458486877040258953224522404227463679358107900330982424491755396341208189848787623504231501567489026879897427672708409013536098443010712422091751271171050240601211503151134214329313669467542209407096839618104048283479289836021808656506375314093383085917148221325389005812408609223157576363231821289194986613009681103325551397473304874276529012407573556783072380611474884196637187679730306286242041537596540952965719641855623621324163262734447829778648589360866981330105484020750493459850032767848370440844570058788871464517690730276703959341256166406591250844846344891665592744505200892225569353857757096074419514232293596505655455459743096857869132585447949022087690747664731384687675037905359445767265855376180515538891352728701919378175092326931477148135397800223167696805737807719211843709131873974246650323127176606667713525097665248929413922401748414040815689604122382886966310395201878143666990484874405879103264060877682978710533926253926466715990482989975623498766705111658212045088962472731063225745926799195187055141409850521399573375812205542552933064996302383287899044098403312908527203514845802515916756335628471184746367725719198461952048789242401322212560254276259762206876909442105934678278478391234007866284687524952376750022982138679174631691638972692030706939621344065380803687285119209553151810233920617313000744043555753354859789376518440851930404633806113716274313083670943602606990423855238874301748991636467335894247249735905445624026944324561178463583472501069392774382157542473726769065430056207158602504125596374958404868304473686941721344438241648061209681349035868214631965675362037402557959214316719996947293286106664653362278019145351923506010458216624541086247283268650112601165182266224122959445626116001100924515324724437083620382647831723257496622922024621118592409378676287485452774319752909896547052342405778613874422589501154427609658893757147144644065876369812432797883556898398401601296862449157970302059174850437260073858171537790471140030146277342975231448636865471024707102484904165104486901615418222935572464440193710965771884777804144721426549730740440206267953789784245136340063157737963028257636662829770683725927046406016946061065672603836393691380351341205774785148489774593685064053467746594528736135823019657309755059389931751991266532496836625439297688491568585620009150904408620559358109129319700085936605120223530743963482462395767568277152543756873792226441166148995796636306854770680457790605719454230571887313248232058203165774438057118317909519436874000042870202993617682338790489625445134045970088793647100140294168291586634744991419479323894989959336977597314122812532542671776993665310183226379125176513496170945829794213218204911676178998635022303429210087404131597888759780562935310638472510393947393333663658767123310614695859783682303985061100073847803866964525136094050195200979479493126759672904072402908775281081457517722355022730583423660589637208057218119465054349530021690821394472987385948792644887268766376454117750088632667157403479491152736025137011958165150672352520697526260367179946844155737907165870759587785112527282948671979134709869861396322143749015636088850949611498802132870834680128242333121121199458438095815214082139625454792373179183489583520017315658618096349690262134831048724310970373682204993958276712820706481216838258365603513522839212514395486467458955774060977201948663149944390056348371671062368139653523089084818227852050761084014102083619983690552552200613597996184553742599640585625782156756836740323020265657154202306574935366765627526602354853911534676520690642657668855940170609923386648931132139509112361546995491661055303751324891775524840097225587541740138693223942667345482517538391903847915829656267564177463800185923161600247610899693777011458348653013313245095837729014372673245820422743634236104980223440450100970314479433330671970108995692392674242250407697508934173754176920190770550155514193553835647570621234455548605235081014398270088661689658330506465081130506972992271841175541726092731318343127081882962830379756122974012646492453582708915156987809722021540175573251769447372017047787352629887086999558124124228649651990829500694991201890823730786569776418603068885775927286853023257599983455355207367881137839604069431832680345072652903091315292195490240058004716634794578587138927116476663169316138634377935622088704970053508050498750665877078932205429934709038383262348158680711502196683670862868185821095620959309204380702771816844064327666297699163298940604175462295690547553847489253221319743231307157373118787592442047837104731032398692808680245553360420513203643221711884122631386461365606780296519382871925209263004460468078055359723134863766616563101709679905415679958781294744303941262557248728575504117383550520586696477429324784899601774907113102804266917068561087031211170313989473573320759764757237325561988114939846480635099023989163467893098322368386276509128515462148992611409362219197412803537607359266385157650396391099434443068618247348115883460669931409312188020200179016356098045825819987280583313529702696936112512114274454344616737391131617963788691077527787943931934982058251644507818441435858017884262301171877019069677897595705728167422598784151245321388099816526056535319198712638484615174153649228260516344774079932206500960592015187043436318663526392257361626986872104150580454204473451180211286412735077890842057358387591635521802183560569424616850502149818115373285334511493548573835713464837702916457895779584967628176283592325908001439163547270872217020856552209203776178649356920035933021611274466520884468215522836207045811677397840282790520025668854666680154935406728992182091042942971138044977910521517944382343853043878810579118095576672357197591084895177228556303270502939537439984027813540797794312999335646656302808384121327263006999882032253288022242390101241628922855023476665397933649802468108069842194466160552144580603132013056556763833472654915765846726661050197833547924720149467444067836933985857230417285894478795505373155055057088511191754238347939850507177859540790308494162879121018672614143192526546007710926272050031361202362085212316566541186707894451756251527866990475191241593320216467156491590266407249662243459080163444984065268254072354440343438730806407438068834641769372757371904742721239377221313141904302198241663648064407776208785366418151582237277447339895016929688567159284697886461505512043395046915712449447628907181670099436362124802304401786391347271770365294947638757914611498142489469940311525231095217762797963309058225794991035930198634904946932673935551953897711981870591065174686899747674698320555370149955774879931297242114630271460507483839052530084825471596559641533416928117993883145992430708305663526167450878428701030696978555492230228640457587044731368411922736405413990212880251896660399024068337836127446594872826857504460669482951788433255387970950947452921777163891496193486389928707831345011471344760619455365984560565435502869571477003579933159060703573088334979048090217765360835394791528334628122432554915904033950750887272714654481707479286222809962841756907974022824936903604384501578853369349326839081411404949064626908531695737572393830766814692439693836304559048824741427707729324831470652808588622632609138961105944967975834847834076431314523594072840764189256381725929467536306833024423566242000084721064080149523106917225849749320464542324270879096873792809186369150961797487433955566844686710175070865360811042675678484677259649786676258447542403297717304289497028899358582440239429229879732215578681118545570112195029322269386030135972826518281526798567623222663813380397798450259495557944614364535520947332805857738201501187858235805648083032325260565632484562701647868086356989259891564104076863281468881055540990936015749196275913278996197246176262226000037513014045781658136571194589338793001149054712609881351999213253809932389392300264878489415816023423338340666120506661438716712945953493751208577577155698246984778697934616931667201404699449457944690393513435871680155268941294901908703576465521602174711899236879747777283078205977210977336920984134797645312982443731656984473646839735275371862755743762226046149742990098789224403732798794905632609766713749439331556999153229999047976819767726574996423561174854323788798244224659327134465191048384890873621463000828318341432608359368101337755164542223557405778838730002470420061240411199369498924558177568449658531440427805912142366024585733330752211585893194943467913046041862282365009904678779121307737095390799590371454179102560577767334583824751635924188034991278274282644080621039985068395900007576914271910575632629471743977146647808499153831206147782533751085789608308306988711080699063961858702568922806854386729538924307538098778956664988886323021975403290634836792138755347236000785003656256012084811364724138764541693823364634771833977820490038862999003196893551861902196390614091181750649725800554310923589229523432094392225184738718760587559594614752283158953198244465433099794691631883372924962865680695403485107534284219499578382529328642914834476434003954496160164568547178735017364996039025408051530078894145989449889989635209846331316773235839175929655676787030148170567143769555850290928665335651548850895733377095361922493477817736665208329896296757768085247501362243352121186399100347286115367511230583895932245909792378484022576225621123134018854450135094636177517707441326823076355579818911954683548936851763764480425182784006663141440438569776982625988488876410401692619401823389684081616677014022222640368612271024690803929159702884534391871895885126894722567523409634920737325668056427922634064321631778740900182337956293017874599626070811662384902992261030932882345263082869524100423711733646251696844605773073788336934544340205686730250077820182799857668723377144949927172672916711059641038068164613161159332
